Title,Rating,Expert Rating,Location,Price Per Night,Distance From City,Facilities,Country
Citymax Hotel Bur Dubai,3 Star Hotel,8.8,Dubai,"15,000",3 km from City Center,"['Fitness Center', 'Free Parking', 'Outdoor Pool']",Dubai
Monaco Hotel Dubai,4 Star Hotel,8.8,Dubai,"5,000",8 km from City Center,"['Laundry Service', 'Restaurant']",Dubai
Rainbow Hotel Dubai,3 Star Hotel,8.8,Dubai,"5,000",4 km from City Center,"['Free Parking', 'Air-Conditioned', 'Laundry Service']",Dubai
Ramee Rose Hotel Dubai,4 Star Hotel,8.8,Dubai,"10,000",18 km from City Center,"['Free Wi-Fi', 'Free Parking']",Dubai
Raviz Center Point Hotel Dubai,4 Star Hotel,8.8,Dubai,"5,000",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Dubai
Rove Downtown Dubai,3 Star Hotel,8.8,Dubai,"5,000",3 km from City Center,"['Free Parking', 'Outdoor Pool', 'Laundry Service']",Dubai
"Sheraton Mall Of The Emirates Hotel, Dubai",5 Star Hotel,8.8,Dubai,"15,000",15 km from City Center,"['Free Parking', 'Air-Conditioned', 'Laundry Service']",Dubai
Key One Homes   Ocean Heights Tower,3 Star Hotel,8.8,Dubai,"5,000",20 km from City Center,"['Free Parking', 'Outdoor Pool']",Dubai
Yanjoon Holiday Homes Dubai,3 Star Hotel,8.5,Dubai,"10,000",24 km from City Center,"['Outdoor Pool', 'Fitness Center']",Dubai
Key One Homes   Botanica Tower,3 Star Hotel,8.5,Dubai,"5,000",27 km from City Center,"['Outdoor Pool', 'Free Parking', 'Laundry Service', 'Air-Conditioned']",Dubai
Atlantic Tower Dubai Marina,3 Star Hotel,8.5,Dubai,"10,000",21 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Fitness Center']",Dubai
Jannah Marina Bay Suites Dubai,4 Star Hotel,8.5,Dubai,"5,000",23 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Address Downtown Dubai,5 Star Hotel,8.5,Dubai,"5,000",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Dubai
Ambassador Hotel Dubai,3 Star Hotel,8.5,Dubai,"5,000",4 km from City Center,"['Free Wi-Fi', 'Outdoor Pool', 'Restaurant']",Dubai
Signature Hotel Dubai,4 Star Hotel,8.5,Dubai,"5,000",15 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Dubai
Four Points By Sheraton Sheikh Zayed Road Dubai,4 Star Hotel,8.5,Dubai,"5,000",24 km from City Center,"['Free Parking', 'Air-Conditioned', 'Laundry Service']",Dubai
Hotel Ibis Mall Of The Emirates Dubai,3 Star Hotel,8.5,Dubai,"15,000",15 km from City Center,"['Free Parking', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Millennium Plaza Hotel Dubai,5 Star Hotel,8.5,Dubai,"20,000",1 km from City Center,"['Air-Conditioned', 'Laundry Service']",Dubai
Faraway Homes   Marina Heights Dubai,4 Star Hotel,8.5,Dubai,"15,000",21 km from City Center,"['Free Parking', 'Fitness Center', 'Laundry Service', 'Room Service']",Dubai
