Title,Rating,Expert Rating,Location,Price Per Night,Distance From City,Facilities,Country
Hotel Pakdee Bed And Breakfast Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",2 km from City Center,"['Free Wi-Fi', 'Air-Conditioned', 'Laundry Service']",Thailand
Walking Street Guest House Pattaya,1 Star Hotel,7.9,Pattaya,"2,500",1 km from City Center,['Air-Conditioned'],Thailand
Welcome Inn Phuket,2 Star Hotel,7.9,Phuket,"2,500",12 km from City Center,"['Air-Conditioned', 'Restaurant']",Thailand
Ariston Hotel Bangkok,4 Star Hotel,7.9,Bangkok,"2,500",6 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Ratchada Point Hotel Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",8 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Deevana Patong Resort & Spa Phuket,3 Star Hotel,7.9,Phuket,"5,000",7 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
King Royal 2 Hotel Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",3 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Air-Conditioned', 'Laundry Service']",Thailand
Suvarnabhumi Suite Hotel Bangkok,4 Star Hotel,7.9,Bangkok,"7,500",28 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Hotel Pakdee Bed And Breakfast Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",2 km from City Center,"['Free Wi-Fi', 'Air-Conditioned', 'Laundry Service']",Thailand
Walking Street Guest House Pattaya,1 Star Hotel,7.9,Pattaya,"2,500",1 km from City Center,['Air-Conditioned'],Thailand
Welcome Inn Phuket,2 Star Hotel,7.9,Phuket,"2,500",12 km from City Center,"['Air-Conditioned', 'Restaurant']",Thailand
Sky Suites Hotel Bangkok,2 Star Hotel,7.9,Bangkok,"2,500",4 km from City Center,['Laundry Service'],Thailand
H2 Hotel Bangkok,3 Star Hotel,7.9,Bangkok,"10,000",4 km from City Center,,Thailand
Days Inn By Wyndham Patong Beach Phuket,3 Star Hotel,7.9,Phuket,"5,000",8 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Hotel Ds67 Suites Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",9 km from City Center,"['Air-Conditioned', 'Laundry Service']",Thailand
Dynasty Inn Hotel Bangkok,4 Star Hotel,7.9,Bangkok,"2,500",4 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Howard Square Boutique Hotel Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",4 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
Dynasty Inn Hotel Bangkok,4 Star Hotel,7.9,Bangkok,"2,500",4 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Howard Square Boutique Hotel Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",4 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
Royal Thai Residence Pattaya,2 Star Hotel,7.9,Pattaya,"2,500",3 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
Nine Design Place Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",1 km from City Center,['Laundry Service'],Thailand
Once In Bangkok Guesthouse,2 Star Hotel,7.9,Bangkok,"2,500",2 km from City Center,"['Free Wi-Fi', 'Air-Conditioned']",Thailand
Chan Resort Pattaya,3 Star Hotel,7.9,Pattaya,"2,500",3 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Suites 31 Sukhumvit Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",6 km from City Center,['Laundry Service'],Thailand
Hotel Sabai Inn Pattaya,3 Star Hotel,7.9,Pattaya,"2,500",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Ibis Bangkok Riverside,3 Star Hotel,7.9,Bangkok,"2,500",4 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Thailand
Bel Aire Resort Phuket,3 Star Hotel,7.9,Patong,"2,500",,"['Laundry Service', 'Restaurant']",Thailand
Best Beach Villa Pattaya,3 Star Hotel,7.9,Pattaya,"2,500",1 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Alphabeto Resort Phuket,3 Star Hotel,7.9,Phuket,"2,500",18 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
Patra Boutique Hotel Bangkok,3 Star Hotel,7.9,Bangkok,"5,000",2 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Baan To Guest House Krabi,2 Star Hotel,7.9,Krabi,"2,500",3 km from City Center,"['Restaurant', 'Free Parking']",Thailand
Warm White Hostel Bangkok,2 Star Hotel,7.9,Bangkok,"2,500",2 km from City Center,"['Air-Conditioned', 'Laundry Service']",Thailand
Mr Macs Hotel Pattaya,2 Star Hotel,7.9,Pattaya,"2,500",4 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
The Boutique Place Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",3 km from City Center,"['Free Wi-Fi', 'Air-Conditioned']",Thailand
Boat Lagoon Resort Phuket,3 Star Hotel,7.9,Phuket,"2,500",5 km from City Center,"['Laundry Service', 'Fitness Center']",Thailand
Panini Residence Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",26 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
J. No 14 Lodge Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",3 km from City Center,,Thailand
Katesiree Residence Pattaya,2 Star Hotel,7.9,Pattaya,"2,500",1 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
At Mind Executive Suites Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",11 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
Baan Boa Resort Phuket,3 Star Hotel,7.9,Patong,"2,500",,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Smart Suites Hotel Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",4 km from City Center,['Laundry Service'],Thailand
Nautical Inn Hotel Pattaya,3 Star Hotel,7.9,Pattaya,"2,500",,"['Restaurant', 'Laundry Service']",Thailand
Malaysia Hotel Bangkok,2 Star Hotel,7.9,Bangkok,"2,500",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Khaosan Palace Hotel Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",2 km from City Center,"['Outdoor Pool', 'Laundry Service']",Thailand
S3 Residence Park Bangkok,3 Star Hotel,7.9,Bangkok,"2,500",3 km from City Center,['Free Wi-Fi'],Thailand
Samkong Place Hotel Phuket,3 Star Hotel,7.9,Phuket,"2,500",7 km from City Center,"['Laundry Service', 'Free Parking']",Thailand
Phoenix Lakeside Pool Villa Pattaya,4 Star Hotel,7.9,Pattaya,"5,000",15 km from City Center,,Thailand
Encore Seaside Residency Pattaya,4 Star Hotel,7.9,Pattaya,"2,500",2 km from City Center,['Restaurant'],Thailand
The Fifth Residence Bangkok,3 Star Hotel,7.9,Bangkok,"5,000",,['Laundry Service'],Thailand
Triple 8 Inn Silom Bangkok,3 Star Hotel,7.9,Bangkok,"5,000",3 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
The Trees Club Resort Phuket,3 Star Hotel,7.9,Phuket,"2,500",5 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
The Quarter Resort Phuket,4 Star Hotel,7.9,Phuket,"7,500",6 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Flipper Lodge Hotel Pattaya,3 Star Hotel,7.8,Pattaya,"2,500",,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Ibis Phuket Patong Hotel,3 Star Hotel,7.8,Patong,"2,500",,"['Free Wi-Fi', 'Free Parking', 'Air-Conditioned', 'Laundry Service']",Thailand
Novotel Bangkok Sukhumvit 20,4 Star Hotel,7.8,Bangkok,"5,000",5 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Thailand
Ruamchitt Plaza Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",5 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Restaurant']",Thailand
Pearl Hotel Phuket,3 Star Hotel,7.8,Phuket,"2,500",10 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Novotel Bangkok Sukhumvit 20,4 Star Hotel,7.8,Bangkok,"5,000",5 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Thailand
Ruamchitt Plaza Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",5 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Restaurant']",Thailand
Fortuna Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"7,500",5 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
Ibis Phuket Patong Hotel,3 Star Hotel,7.8,Patong,"2,500",,"['Free Wi-Fi', 'Free Parking', 'Air-Conditioned', 'Laundry Service']",Thailand
Fx Hotel Pattaya,3 Star Hotel,7.8,Pattaya,"2,500",3 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Boss Residence Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",8 km from City Center,"['Air-Conditioned', 'Free Parking', 'Laundry Service', 'Room Service']",Thailand
East Suites Jomtien Hotel Pattaya,3 Star Hotel,7.8,Pattaya,"2,500",4 km from City Center,,Thailand
Lemongrass Hotel Phuket,3 Star Hotel,7.8,Phuket,"2,500",9 km from City Center,['Laundry Service'],Thailand
Laila Pool Village,3 Star Hotel,7.8,Phuket,"2,500",16 km from City Center,['Outdoor Pool'],Thailand
The Rose Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",3 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Hacienda Beach Resort Koh Samui,3 Star Hotel,7.8,Koh,"2,500",,"['Laundry Service', 'Free Parking', 'Restaurant']",Thailand
Karon Butterfly Residence Phuket,3 Star Hotel,7.8,Phuket,"2,500",13 km from City Center,"['Air-Conditioned', 'Outdoor Pool']",Thailand
Lantana Resort Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",6 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Le Touche'hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",3 km from City Center,,Thailand
Le Vernissage Hotel Pattaya,4 Star Hotel,7.8,Pattaya,"2,500",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Pearl Hotel Phuket,3 Star Hotel,7.8,Phuket,"2,500",10 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Recenta Express Phuket Town,3 Star Hotel,7.8,Phuket,"2,500",687 km from City Center,['Outdoor Pool'],Thailand
Mariya Boutique Residence At Suvarnabhumi Airport Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",28 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
English Rose Guesthouse Pattaya,2 Star Hotel,7.8,Pattaya,"2,500",5 km from City Center,['Free Parking'],Thailand
Loft 77 Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",13 km from City Center,"['Laundry Service', 'Free Parking', 'Restaurant']",Thailand
Baramee Hip Hotel Phuket,3 Star Hotel,7.8,Patong,"2,500",,"['Laundry Service', 'Room Service', 'Free Wi-Fi', 'Free Parking']",Thailand
Sea Me Spring Hotel Pattaya,3 Star Hotel,7.8,Pattaya,"2,500",1 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
Sino Imperial Phuket,3 Star Hotel,7.8,Phuket,"2,500",10 km from City Center,['Laundry Service'],Thailand
New Siam Riverside Guest House Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",3 km from City Center,['Outdoor Pool'],Thailand
Centre Point Sukhumvit Thong Lo,5 Star Hotel,7.8,Bangkok,"7,500",7 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Chang Siam Inn Bangkok,2 Star Hotel,7.8,Bangkok,"2,500",3 km from City Center,"['Free Wi-Fi', 'Laundry Service']",Thailand
Delight Residence Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",16 km from City Center,['Laundry Service'],Thailand
Di Pantai Boutique Beach Resort Phuket,3 Star Hotel,7.8,Phuket,"2,500",7 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Asoke Suites Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",7 km from City Center,"['Restaurant', 'Laundry Service', 'Free Wi-Fi']",Thailand
Aurum The River Place Bangkok,4 Star Hotel,7.8,Bangkok,"5,000",3 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
Kamin Bird Hostel Bangkok,2 Star Hotel,7.8,Bangkok,"2,500",6 km from City Center,['Free Wi-Fi'],Thailand
Floral Shire Resort Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",27 km from City Center,"['Free Wi-Fi', 'Laundry Service', 'Restaurant']",Thailand
Memo Suite Pattaya,4 Star Hotel,7.8,Pattaya,"2,500",1 km from City Center,"['Air-Conditioned', 'Room Service', 'Laundry Service']",Thailand
Adare Garden Pool Villas Pattaya,3 Star Hotel,7.8,Pattaya,"7,500",7 km from City Center,"['Free Parking', 'Outdoor Pool']",Thailand
Hotel Sole Phuket,3 Star Hotel,7.8,Phuket,"2,500",8 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
Loft 77 Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",13 km from City Center,"['Laundry Service', 'Free Parking', 'Restaurant']",Thailand
Anda Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",13 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
Manathai Villa Sylvia Pattaya,4 Star Hotel,7.8,Pattaya,"5,000",1 km from City Center,,Thailand
Canale Hostel Khaosan Bangkok,2 Star Hotel,7.8,Bangkok,"2,500",2 km from City Center,"['Laundry Service', 'Air-Conditioned']",Thailand
Hotel Sino Imperial Phuket,3 Star Hotel,7.8,Phuket,"2,500",10 km from City Center,['Laundry Service'],Thailand
Borarn House Bangkok,1 Star Hotel,7.8,Bangkok,"2,500",3 km from City Center,"['Air-Conditioned', 'Laundry Service']",Thailand
Kk Inn South Hotel Pattaya,3 Star Hotel,7.8,Pattaya,"2,500",1 km from City Center,['Room Service'],Thailand
Krabi Seabass Hotel,3 Star Hotel,7.8,Krabi,"2,500",3 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Nacorn Hostel Bangkok,2 Star Hotel,7.8,Bangkok,"2,500",2 km from City Center,"['Air-Conditioned', 'Laundry Service']",Thailand
Nantra Cozy Hotel Pattaya,2 Star Hotel,7.8,Pattaya,"2,500",1 km from City Center,,Thailand
Lk Majestic Villa Phuket,3 Star Hotel,7.8,Phuket,"2,500",618 km from City Center,"['Room Service', 'Laundry Service', 'Outdoor Pool', 'Free Parking']",Thailand
Melati Beach Resort & Spa Koh Samui,5 Star Hotel,7.8,Ko,"10,000",10 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Bora Bora Villas Phuket,4 Star Hotel,7.8,Phuket,"2,500",13 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Golden Inn Hotel Pattaya,2 Star Hotel,7.8,Pattaya,"2,500",6 km from City Center,"['Laundry Service', 'Free Parking', 'Free Wi-Fi', 'Restaurant']",Thailand
Aspira Sukhumvit Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",4 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Free Wi-Fi', 'Restaurant']",Thailand
Nanda Heritage Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"5,000",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
Nantra Silom Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",3 km from City Center,['Laundry Service'],Thailand
Lk Noble Suite Pattaya,4 Star Hotel,7.8,Pattaya,"2,500",2 km from City Center,"['Outdoor Pool', 'Laundry Service']",Thailand
First Pacific Hotel And Convention Pattaya,3 Star Hotel,7.8,Pattaya,"2,500",,"['Laundry Service', 'Restaurant']",Thailand
Chariot Hotel Pattaya,3 Star Hotel,7.8,Pattaya,"2,500",2 km from City Center,['Restaurant'],Thailand
Baba House Hotel Phuket,3 Star Hotel,7.8,Phuket,"2,500",10 km from City Center,"['Outdoor Pool', 'Laundry Service']",Thailand
Butterfly Garden Boutique Residence By Frasier Pattaya,4 Star Hotel,7.8,Pattaya,"2,500",1 km from City Center,"['Outdoor Pool', 'Free Parking']",Thailand
Hotel Lamai Inn Patong,2 Star Hotel,7.8,Patong,"2,500",,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
Aspira Sukhumvit Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",4 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Free Wi-Fi', 'Restaurant']",Thailand
Sukhumvit Suites Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",4 km from City Center,"['Free Wi-Fi', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Lilac Relax Residence Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",26 km from City Center,['Free Parking'],Thailand
I Check Inn Residences Sathorn Bangkok,4 Star Hotel,7.8,Bangkok,"2,500",6 km from City Center,['Laundry Service'],Thailand
Holiday Station Hostel Krabi,2 Star Hotel,7.8,Krabi,"2,500",1 km from City Center,['Laundry Service'],Thailand
Hostel Movylodge Bangkok,2 Star Hotel,7.8,Bangkok,"2,500",2 km from City Center,['Laundry Service'],Thailand
S33 Compact Sukhumvit Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",6 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Salil Hotel Sukhumvit Soi 8,3 Star Hotel,7.8,Bangkok,"2,500",5 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Lily Residence Bangkok,3 Star Hotel,7.8,Bangkok,"7,500",13 km from City Center,['Restaurant'],Thailand
Gateway Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",3 km from City Center,"['Room Service', 'Laundry Service']",Thailand
Krabi Cozy Place Hotel,2 Star Hotel,7.8,Krabi,"2,500",3 km from City Center,"['Outdoor Pool', 'Laundry Service']",Thailand
Lakkhana Poolside Resort Pattaya,4 Star Hotel,7.8,Pattaya,"2,500",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Gm Service Apartment Bangkok,3 Star Hotel,7.8,Bangkok,"5,000",5 km from City Center,"['Outdoor Pool', 'Room Service']",Thailand
Smile Inn Bangkok,2 Star Hotel,7.8,Bangkok,"2,500",1 km from City Center,"['Air-Conditioned', 'Room Service', 'Laundry Service']",Thailand
Neo Hotel Pattaya,3 Star Hotel,7.8,Pattaya,"2,500",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
P2 Boutique Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",3 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Baan Dinso @ Ratchadamnoen Hotel Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",2 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Elysia Boutique Resort Koh Samui,3 Star Hotel,7.8,Koh,"5,000",,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
Krabi Cozy Place Hotel,2 Star Hotel,7.8,Krabi,"2,500",3 km from City Center,"['Outdoor Pool', 'Laundry Service']",Thailand
Lakkhana Poolside Resort Pattaya,4 Star Hotel,7.8,Pattaya,"2,500",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Fruit House Pattaya,3 Star Hotel,7.8,Pattaya,"5,000",1 km from City Center,['Air-Conditioned'],Thailand
Aleaf Bangkok Hotel,3 Star Hotel,7.8,Bangkok,"2,500",11 km from City Center,['Laundry Service'],Thailand
Baankhunmae Apartment Bangkok,2 Star Hotel,7.8,Bangkok,"2,500",15 km from City Center,"['Free Parking', 'Laundry Service']",Thailand
Pool House Service Residence Bangkok,3 Star Hotel,7.8,Bangkok,"2,500",18 km from City Center,"['Restaurant', 'Room Service']",Thailand
At Home Resort Pattaya,2 Star Hotel,7.8,Pattaya,"2,500",7 km from City Center,['Restaurant'],Thailand
Aa Hotel Pattaya,2 Star Hotel,7.7,Pattaya,"2,500",1 km from City Center,['Outdoor Pool'],Thailand
Eastiny Resort And Spa Pattaya,3 Star Hotel,7.7,Pattaya,"2,500",7 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Royal Palace Hotel Pattaya,3 Star Hotel,7.7,Pattaya,"2,500",1 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Ideal Hotel Pratunam Bangkok,3 Star Hotel,7.7,Bangkok,"2,500",2 km from City Center,,Thailand
H.Boutique Hotel Pattaya,3 Star Hotel,7.7,Pattaya,"2,500",,"['Room Service', 'Restaurant']",Thailand
Eden Bungalow Resort Phuket,3 Star Hotel,7.7,Patong,"2,500",,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Muangphol Mansion Bangkok,2 Star Hotel,7.7,Bangkok,"2,500",1 km from City Center,['Restaurant'],Thailand
Mp Mansion Residence Hotel Pattaya,3 Star Hotel,7.7,Pattaya,"5,000",3 km from City Center,['Laundry Service'],Thailand
W1 A Jomtien Hotel Pattaya,2 Star Hotel,7.7,Pattaya,"2,500",4 km from City Center,['Free Wi-Fi'],Thailand
Vic3 Bangkok,4 Star Hotel,7.7,Bangkok,"5,000",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Viking Resorts Pattaya,5 Star Hotel,7.7,Pattaya,"10,000",1 km from City Center,['Laundry Service'],Thailand
The Beach Boutique House Phuket,3 Star Hotel,7.7,Phuket,"2,500",15 km from City Center,"['Laundry Service', 'Restaurant', 'Fitness Center']",Thailand
China Guest Inn Bangkok,3 Star Hotel,7.7,Bangkok,"2,500",3 km from City Center,['Laundry Service'],Thailand
Sea Crest By Jomtien Hotel Pattaya,4 Star Hotel,7.7,Pattaya,"5,000",6 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Moonshine Place Pattaya,1 Star Hotel,7.7,Chon,"2,500",,['Restaurant'],Thailand
Naiyang Boutique Resort Phuket,2 Star Hotel,7.7,Phuket,"2,500",11 km from City Center,"['Laundry Service', 'Air-Conditioned', 'Free Parking']",Thailand
Nanai Residence Phuket,3 Star Hotel,7.7,Phuket,"2,500",9 km from City Center,"['Laundry Service', 'Free Parking', 'Air-Conditioned']",Thailand
Moonshine Place Pattaya,1 Star Hotel,7.7,Chon,"2,500",,['Restaurant'],Thailand
Oneday Hostel,2 Star Hotel,7.7,Bangkok,"2,500",6 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Phuket Ocean View Resort,3 Star Hotel,7.7,Patong,"2,500",,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
Vic3 Bangkok,4 Star Hotel,7.7,Bangkok,"5,000",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Viking Resorts Pattaya,5 Star Hotel,7.7,Pattaya,"10,000",1 km from City Center,['Laundry Service'],Thailand
W1 A Jomtien Hotel Pattaya,2 Star Hotel,7.7,Pattaya,"2,500",4 km from City Center,['Free Wi-Fi'],Thailand
The Beach Boutique House Phuket,3 Star Hotel,7.7,Phuket,"2,500",15 km from City Center,"['Laundry Service', 'Restaurant', 'Fitness Center']",Thailand
Mp Mansion Residence Hotel Pattaya,3 Star Hotel,7.7,Pattaya,"5,000",3 km from City Center,['Laundry Service'],Thailand
Penthouse Hotel Pattaya,3 Star Hotel,7.7,Pattaya,"2,500",1 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
I Talay Resort Pattaya,3 Star Hotel,7.7,Pattaya,"2,500",254 km from City Center,['Outdoor Pool'],Thailand
Mai Morn Resort Phuket,3 Star Hotel,7.7,Phuket,"2,500",11 km from City Center,['Restaurant'],Thailand
Metropole Hotel Bangkok,5 Star Hotel,7.7,Bangkok,"5,000",7 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
The Mini R Ratchada Hotel Bagnkok,3 Star Hotel,7.7,Bangkok,"2,500",7 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Best Value Inn Nana Bangkok,2 Star Hotel,7.7,Bangkok,"2,500",4 km from City Center,['Laundry Service'],Thailand
The Green View Hotel Pattaya,2 Star Hotel,7.7,Pattaya,"2,500",1 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
The Plim Place Bangkok,3 Star Hotel,7.7,Bangkok,"5,000",10 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
The Sathon Vimanda Hotel Bangkok,3 Star Hotel,7.7,Bangkok,"5,000",4 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
Tara Place Hotel Bangkok,3 Star Hotel,7.7,Bangkok,"2,500",3 km from City Center,['Laundry Service'],Thailand
Tai Pan Hotel Bangkok,4 Star Hotel,7.7,Bangkok,"7,500",5 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Thara House Bangkok,2 Star Hotel,7.7,Bangkok,"2,500",3 km from City Center,"['Laundry Service', 'Free Wi-Fi']",Thailand
Seashore Pattaya Resort,3 Star Hotel,7.7,Pattaya,"2,500",,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Strand Inn Hotel Bangkok,2 Star Hotel,7.7,Bangkok,"2,500",3 km from City Center,"['Free Wi-Fi', 'Air-Conditioned']",Thailand
Phuket Penthouse Hotel,2 Star Hotel,7.7,Phuket,"2,500",14 km from City Center,['Outdoor Pool'],Thailand
The Cottage Resort Pattaya,2 Star Hotel,7.7,Pattaya,"2,500",2 km from City Center,"['Outdoor Pool', 'Restaurant']",Thailand
Rabbit Room Guest House Bangkok,2 Star Hotel,7.7,Bangkok,"2,500",11 km from City Center,['Laundry Service'],Thailand
August Residence Bangkok,3 Star Hotel,7.7,Bangkok,"2,500",6 km from City Center,"['Air-Conditioned', 'Laundry Service']",Thailand
King Royal Garden Inn Bangkok,3 Star Hotel,7.7,Bangkok,"2,500",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
Golden Beach Hotel Pattaya,3 Star Hotel,7.7,Pattaya,"2,500",,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Deep Blue Z10 Hotel Pattaya,3 Star Hotel,7.7,Pattaya,"2,500",,['Restaurant'],Thailand
Just Fine Krabi Hotel,3 Star Hotel,7.7,Krabi,"2,500",3 km from City Center,"['Free Parking', 'Laundry Service']",Thailand
Stay Hostel Bangkok,3 Star Hotel,7.7,Bangkok,"5,000",5 km from City Center,"['Laundry Service', 'Free Wi-Fi']",Thailand
Sarasinee All Suite Boutique Hotel Bangkok,3 Star Hotel,7.7,Bangkok,"2,500",3 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
